behavior_tag,standard,Material_category,material_name,condition,ultimate_tensile_strength,yield_strength,elongation_pct,brinell_hb,vickers_hv,youngs_modulus,shear_modulus,poisson_ratio,density_kg_m3,description,critical_strain_energy_density
Ductile,ANSI,,Tin Bronze C91700,,303000000,152000000,16,,,120000000000,45000000000,0.31,8800,,1536000000
Ductile,ANSI,,Leaded Tin Bronze C92200,,276000000,138000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Leaded Tin Bronze C92300,,276000000,138000000,25,,,120000000000,45000000000,0.31,8800,,3750000000
Ductile,ANSI,,Leaded Tin Bronze C92500,,303000000,138000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,Leaded Tin Bronze C92600,,303000000,138000000,30,,,120000000000,45000000000,0.31,8800,,5400000000
Ductile,ANSI,,Leaded Tin Bronze C92700,,290000000,145000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Brittle,ANSI,,Leaded Tin Bronze C92800,,276000000,207000000,1,,,120000000000,45000000000,0.31,8800,,6000000
Ductile,ANSI,,Leaded Tin Bronze C92900,,324000000,179000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,High Leaded Tin Bronze C93200,,241000000,124000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,High Leaded Tin Bronze C93400,,221000000,110000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,High Leaded Tin Bronze C93500,,221000000,110000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,High Leaded Tin Bronze C93700,,241000000,124000000,20,,,120000000000,45000000000,0.31,8800,,2400000000
Ductile,ANSI,,High Leaded Tin Bronze C93800,,207000000,110000000,18,,,120000000000,45000000000,0.31,8800,,1944000000
Limited ductility,ANSI,,High Leaded Tin Bronze C93900,,221000000,152000000,7,,,120000000000,45000000000,0.31,8800,,294000000
Ductile,ANSI,,High Leaded Tin Bronze C94300,,186000000,90000000,15,,,120000000000,45000000000,0.31,8800,,1350000000
Ductile,ANSI,,High Leaded Tin Bronze C94400,,221000000,110000000,18,,,120000000000,45000000000,0.31,8800,,1944000000
Limited ductility,ANSI,,High Leaded Tin Bronze C94500,,172000000,83000000,12,,,120000000000,45000000000,0.31,8800,,864000000
Ductile,ANSI,,Nickel-Tin Bronze C94700,,345000000,159000000,35,,,120000000000,45000000000,0.31,8800,,7350000000
Ductile,ANSI,,Nickel-Tin Bronze C94800,,310000000,159000000,35,,,120000000000,45000000000,0.31,8800,,7350000000
Ductile,ANSI,,Aluminum Bronze C95200,,552000000,186000000,35,,,120000000000,45000000000,0.32,8800,,7350000000
Ductile,ANSI,,Aluminum Bronze C95300,,517000000,186000000,25,,,120000000000,45000000000,0.32,8800,,3750000000
Ductile,ANSI,,Aluminum Bronze C95400,,586000000,241000000,18,,,120000000000,45000000000,0.32,8800,,1944000000
Limited ductility,ANSI,,Aluminum Bronze C95500,,689000000,303000000,12,,,120000000000,45000000000,0.32,8800,,864000000
Ductile,ANSI,,Aluminum Bronze C95600,,517000000,234000000,18,,,120000000000,45000000000,0.32,8800,,1944000000
Ductile,ANSI,,Aluminum Bronze C95700,,655000000,310000000,26,,,120000000000,45000000000,0.32,8800,,4056000000
Ductile,ANSI,,Aluminum Bronze C95800,,655000000,262000000,25,,,120000000000,45000000000,0.32,8800,,3750000000
Ductile,ANSI,,Copper-Nickel C96200,,310000000,172000000,20,,,100000000000,37000000000,0.34,8500,,2000000000
Limited ductility,ANSI,,Copper-Nickel C96300,,517000000,379000000,10,,,100000000000,37000000000,0.34,8500,,500000000
Ductile,ANSI,,Copper-Nickel C96400,,469000000,255000000,28,,,100000000000,37000000000,0.34,8500,,3920000000
